slide;champ;avant;apres;raison
170;anglais;l'm fine, too.;I'm fine, too.;Correction OCR / grammaire de base
195;anglais;l'm going home.;I'm going home.;Correction OCR / grammaire de base
196;anglais;l'm George Smith.;I'm George Smith.;Correction OCR / grammaire de base
197;anglais;l'm Steve Williams.;I'm Steve Williams.;Correction OCR / grammaire de base
216;anglais;1 like football.;I like football.;Correction OCR / grammaire de base
217;anglais;l've had enough.;I've had enough.;Correction OCR / grammaire de base
240;anglais;l like ice-cream.;I like ice-cream.;Correction OCR / grammaire de base
241;anglais;l'm free tonight.;I'm free tonight.;Correction OCR / grammaire de base
242;anglais;l'm the youngest.;I'm the youngest.;Correction OCR / grammaire de base
272;anglais;Sorry, l'm engaged.;Sorry, I'm engaged.;Correction OCR / grammaire de base
296;anglais;All enjoyed themselves.;AlI enjoyed themselves.;Correction OCR / grammaire de base
305;anglais;l understand completely.;I understand completely.;Correction OCR / grammaire de base
309;anglais;Show your ticketstplease.;Show your tickets, please.;Correction OCR / grammaire de base
313;anglais;l'm fed up.;I'm fed up.;Correction OCR / grammaire de base
314;anglais;No, | can't.;No, I can't.;Correction OCR / grammaire de base
316;français;;Il a mon âge.;Traduction manquante complétée
317;anglais;1 like this.;I like this.;Correction OCR / grammaire de base
318;français;Faire une promenade.;Dégage.;Traduction corrigée (sens)
324;anglais;| detest you.;I detest you.;Correction OCR / grammaire de base
325;anglais;1 do miss you.;I do miss you.;Correction OCR / grammaire de base
326;anglais;| owe you one.;I owe you one.;Correction OCR / grammaire de base
327;anglais;l'm on a diet.;I'm on a diet.;Correction OCR / grammaire de base
328;anglais;l'm on my way.;I'm on my way.;Correction OCR / grammaire de base
330;français;Frappez-le.;Arrête ça.;Traduction corrigée (sens)
340;anglais;l have no idea.;I have no idea.;Correction OCR / grammaire de base
341;anglais;| just made it.;I just made it.;Correction OCR / grammaire de base
343;anglais;l'Il see to it.;I'll see to it.;Correction OCR / grammaire de base
344;anglais;l'm good at it.;I'm good at it.;Correction OCR / grammaire de base
345;anglais;l'm in a hurry.;I'm in a hurry.;Correction OCR / grammaire de base
347;français;Juste le laisser être.;Laisse tomber.;Traduction corrigée (sens)
350;français;Tu es un enfoiré.;Tu es un idiot.;Traduction corrigée (sens)
353;anglais;Can you make itll;Can you make it?;Correction OCR / grammaire de base
358;anglais;| am behind you.;I am behind you.;Correction OCR / grammaire de base
359;anglais;1 don't mean it.;I don't mean it.;Correction OCR / grammaire de base
360;anglais;l'Il do my best.;I'll do my best.;Correction OCR / grammaire de base
361;anglais;l'Il fix you Up.;I'll fix you Up.;Correction OCR / grammaire de base
366;anglais;1 can't help it.;I can't help it.;Correction OCR / grammaire de base
370;anglais;Yes, | think so.;Yes, I think so.;Correction OCR / grammaire de base
372;anglais;Did you have fun0;Did you have fun?;Correction OCR / grammaire de base
378;anglais;| can't stand it.;I can't stand it.;Correction OCR / grammaire de base
379;anglais;1 didn't mean to.;I didn't mean to.;Correction OCR / grammaire de base
380;anglais;l have no choice.;I have no choice.;Correction OCR / grammaire de base
381;anglais;l love this game.;I love this game.;Correction OCR / grammaire de base
382;anglais;l'Il try my best.;I'll try my best.;Correction OCR / grammaire de base
383;anglais;l'm on your side.;I'm on your side.;Correction OCR / grammaire de base
384;anglais;l've got no idea.;I've got no idea.;Correction OCR / grammaire de base
407;français;Ne vous en doutez pas.;Ne te laisse pas avoir.;Traduction corrigée (sens)
411;français;Voici votre nourriture.;Voici votre repas.;Traduction corrigée (sens)
413;anglais;l beg your pardon.;I beg your pardon.;Correction OCR / grammaire de base
414;anglais;| can't afford it.;I can't afford it.;Correction OCR / grammaire de base
415;anglais;| come from Japan.;I come from Japan.;Correction OCR / grammaire de base
416;anglais;| thought so;I thought so;Correction OCR / grammaire de base
417;anglais;l'd like a refund.;I'd like a refund.;Correction OCR / grammaire de base
418;anglais;l'Il be back soon.;I'll be back soon.;Correction OCR / grammaire de base
419;anglais;l'Il check it out.;I'll check it out.;Correction OCR / grammaire de base
420;anglais;l'm going to work.;I'm going to work.;Correction OCR / grammaire de base
421;anglais;l'm in good shape.;I'm in good shape.;Correction OCR / grammaire de base
422;anglais;l'm working on it.;I'm working on it.;Correction OCR / grammaire de base
423;anglais;l've done my best.;I've done my best.;Correction OCR / grammaire de base
431;anglais;No, l'm Canadian.;No, I'm Canadian.;Correction OCR / grammaire de base
457;anglais;| can't believe it.;I can't believe it.;Correction OCR / grammaire de base
458;anglais;1 can't follow you.;I can't follow you.;Correction OCR / grammaire de base
459;anglais;1 couldn't help it.;I couldn't help it.;Correction OCR / grammaire de base
460;anglais;l have a complaint.;I have a complaint.;Correction OCR / grammaire de base
461;anglais;| Know the feeling.;I Know the feeling.;Correction OCR / grammaire de base
462;anglais;| really regret it.;I really regret it.;Correction OCR / grammaire de base
463;anglais;l'Il think it over.;I'll think it over.;Correction OCR / grammaire de base
464;anglais;l'm all washed up.;I'm all washed up.;Correction OCR / grammaire de base
465;anglais;l'm easy to please.;I'm easy to please.;Correction OCR / grammaire de base
466;anglais;l'm reading a book.;I'm reading a book.;Correction OCR / grammaire de base
467;anglais;l'm sorry l'm late.;I'm sorry I'm late.;Correction OCR / grammaire de base
476;anglais;Maybe it will work.;Maybe it wilI work.;Correction OCR / grammaire de base
496;anglais;1 didn't sleep well.;I didn't sleep well.;Correction OCR / grammaire de base
497;anglais;| really don't know.;I really don't know.;Correction OCR / grammaire de base
498;anglais;l'Il be right there.;I'll be right there.;Correction OCR / grammaire de base
499;anglais;l'm not really sure.;I'm not really sure.;Correction OCR / grammaire de base
500;anglais;l've got a headache.;I've got a headache.;Correction OCR / grammaire de base
506;français;Visons-les.;Allons leur rendre visite.;Traduction corrigée (sens)
532;anglais;1 could hardly speak.;I could hardly speak.;Correction OCR / grammaire de base
533;anglais;l enjoy your company.;I enjoy your company.;Correction OCR / grammaire de base
534;anglais;1 like football best.;I like football best.;Correction OCR / grammaire de base
535;anglais;l'm not feeling well.;I'm not feeling well.;Correction OCR / grammaire de base
536;anglais;l'm not myself today.;I'm not myself today.;Correction OCR / grammaire de base
537;anglais;l'm pressed for time.;I'm pressed for time.;Correction OCR / grammaire de base
538;anglais;l've changed my mind.;I've changed my mind.;Correction OCR / grammaire de base
570;anglais;| couldn't agree more.;I couldn't agree more.;Correction OCR / grammaire de base
571;anglais;l'Il further my study.;I'll further my study.;Correction OCR / grammaire de base
572;anglais;l'Il take your advice.;I'll take your advice.;Correction OCR / grammaire de base
608;anglais;1 couldn't get through.;I couldn't get through.;Correction OCR / grammaire de base
609;anglais;l'Il meet you tomorrow.;I'll meet you tomorrow.;Correction OCR / grammaire de base
610;anglais;l'm very disappointed.;I'm very disappointed.;Correction OCR / grammaire de base
621;français;Cette soupe goûte génial.;Cette soupe est délicieuse.;Traduction corrigée (sens)
634;anglais;l like playing football.;I like playing football.;Correction OCR / grammaire de base
635;anglais;| really enjoyed myself.;I really enjoyed myself.;Correction OCR / grammaire de base
636;anglais;l'm crazy about English.;I'm crazy about English.;Correction OCR / grammaire de base
637;anglais;l'm determined to leave.;I'm determined to leave.;Correction OCR / grammaire de base
643;français;Elle est sous le temps;Elle ne se sent pas bien.;Traduction corrigée (sens)
652;anglais;l like collecting stamps.;I like collecting stamps.;Correction OCR / grammaire de base
653;anglais;l'm twenty-seven years old.;I'm twenty-seven years old.;Correction OCR / grammaire de base
661;anglais;This material feels soft.;This materiaI feels soft.;Correction OCR / grammaire de base
666;français;Ne tirez pas sur les conclusions.;Ne tire pas de conclusions hâtives.;Traduction corrigée (sens)
668;anglais;| will arrange everything.;I will arrange everything.;Correction OCR / grammaire de base
669;français;Gardez les doigts croisés.;Croise les doigts.;Traduction corrigée (sens)
677;anglais;l'm forty-two years old.;I'm forty-two years old.;Correction OCR / grammaire de base
690;anglais;| appreciate your invitation.;I appreciate your invitation.;Correction OCR / grammaire de base
698;anglais;l bet you can.;I bet you can.;Correction OCR / grammaire de base
701;anglais;l'm sick of it.;I'm sick of it.;Correction OCR / grammaire de base
707;français;Laïisse-moi tranquille.;Laisse-moi tranquille.;Traduction corrigée (sens)
709;anglais;l have to go now.;I have to go now.;Correction OCR / grammaire de base
711;français;Vous m'épousez.;Tu m'énerves.;Traduction corrigée (sens)
716;anglais;| mean what | say.;I mean what | say.;Correction OCR / grammaire de base
717;anglais;l'm from Canada.;I'm from Canada.;Correction OCR / grammaire de base
730;anglais;l felt sort of ill.;I felt sort of ill.;Correction OCR / grammaire de base
731;anglais;l have a good idea.;I have a good idea.;Correction OCR / grammaire de base
732;anglais;| was just on time.;I was just on time.;Correction OCR / grammaire de base
733;anglais;l'm in a good mood.;I'm in a good mood.;Correction OCR / grammaire de base
742;français;Nous pouvons le résoudre;On peut s'arranger.;Traduction corrigée (sens)
743;français;Nous avons eu un bon temps.;On a passé un bon moment.;Traduction corrigée (sens)
750;anglais;| am a football fan.;I am a football fan.;Correction OCR / grammaire de base
751;anglais;| am bored to death.;I am bored to death.;Correction OCR / grammaire de base
752;anglais;| feel the same wary.;I feel the same wary.;Correction OCR / grammaire de base
753;anglais;| know all about it.;I know all about it.;Correction OCR / grammaire de base
754;anglais;| wake my sister up.;I wake my sister up.;Correction OCR / grammaire de base
755;anglais;l'd be glad to help.;I'd be glad to help.;Correction OCR / grammaire de base
756;anglais;l'Il play it by ear.;I'll play it by ear.;Correction OCR / grammaire de base
757;anglais;l'Il see you at six.;I'll see you at six.;Correction OCR / grammaire de base
757;français;Je vous verrai à six heures moins le soir.;Je te verrai à six heures.;Traduction corrigée (sens)
778;anglais;| envy you very much.;I envy you very much.;Correction OCR / grammaire de base
779;anglais;1 got there by plane.;I got there by plane.;Correction OCR / grammaire de base
780;anglais;| was about to leave.;I was about to leave.;Correction OCR / grammaire de base
781;anglais;l'Il give you a hand.;I'll give you a hand.;Correction OCR / grammaire de base
782;anglais;l'Il go to a concert.;I'll go to a concert.;Correction OCR / grammaire de base
783;anglais;l'Il pick up the tab.;I'll pick up the tab.;Correction OCR / grammaire de base
783;français;Je vais reprendre l'onglet.;Je vais régler l'addition.;Traduction corrigée (sens)
784;anglais;l'Il take care of it.;I'll take care of it.;Correction OCR / grammaire de base
785;français;C'est un morceau de gâteau.;C'est du gâteau.;Traduction corrigée (sens)
790;anglais;No, l'm a single son.;No, I'm a single son.;Correction OCR / grammaire de base
790;français;Non, je suis un fils unique.;Non, je suis fils unique.;Traduction corrigée (sens)
793;anglais;That's the wayitis.;That's the way it is.;Correction OCR / grammaire de base
815;anglais;1 caught the last bus.;I caught the last bus.;Correction OCR / grammaire de base
815;français;J'ai attrapé le dernier autobus.;J'ai pris le dernier bus.;Traduction corrigée (sens)
816;anglais;1 don't know for sure.;I don't know for sure.;Correction OCR / grammaire de base
817;anglais;| guess he's about 30.;I guess he's about 30.;Correction OCR / grammaire de base
818;anglais;| suppose he was sick.;I suppose he was sick.;Correction OCR / grammaire de base
819;anglais;| was 10 minutes late.;I was 10 minutes late.;Correction OCR / grammaire de base
821;anglais;l'm about to explode.;I'm about to explode.;Correction OCR / grammaire de base
822;anglais;l'm glad to hear that.;I'm glad to hear that.;Correction OCR / grammaire de base
823;anglais;l'm very proud of you.;I'm very proud of you.;Correction OCR / grammaire de base
824;anglais;l've got news for you.;I've got news for you.;Correction OCR / grammaire de base
864;anglais;1 don't feel very well.;I don't feel very well.;Correction OCR / grammaire de base
865;anglais;l enjoyed it very much.;I enjoyed it very much.;Correction OCR / grammaire de base
867;anglais;| prefer sushi to pizza.;I prefer sushi to pizza.;Correction OCR / grammaire de base
868;anglais;| wasn't aware of that.;I wasn't aware of that.;Correction OCR / grammaire de base
869;anglais;| will be more careful.;I will be more careful.;Correction OCR / grammaire de base
870;anglais;| will never forget it.;I will never forget it.;Correction OCR / grammaire de base
871;anglais;l'Il be right with you.;I'll be right with you.;Correction OCR / grammaire de base
872;anglais;l'Il keep my eyes open.;I'll keep my eyes open.;Correction OCR / grammaire de base
873;anglais;l'm just having a look.;I'm just having a look.;Correction OCR / grammaire de base
874;anglais;l'm sorry to hear that.;I'm sorry to hear that.;Correction OCR / grammaire de base
875;anglais;l've got my hands full.;I've got my hands full.;Correction OCR / grammaire de base
881;français;Bonne conversation avec vous.;Ravi d'avoir discuté avec vous.;Traduction corrigée (sens)
899;français;Avez-vous des changements?;Avez-vous de la monnaie ?;Traduction corrigée (sens)
901;français;l'a eu un mauvais mal de tête.;Il a un gros mal de tête.;Traduction corrigée (sens)
903;anglais;| couldn't be more sure.;I couldn't be more sure.;Correction OCR / grammaire de base
904;anglais;1 like hot weather best.;I like hot weather best.;Correction OCR / grammaire de base
904;français;J'aime le meilleur temps.;J'aime surtout le temps chaud.;Traduction corrigée (sens)
905;anglais;| meet the boss himself.;I meet the boss himself.;Correction OCR / grammaire de base
906;anglais;1 never liked it anywary.;I never liked it anywary.;Correction OCR / grammaire de base
907;anglais;| usually wake up early.;I usually wake up early.;Correction OCR / grammaire de base
908;anglais;l work hard all morning.;I work hard all morning.;Correction OCR / grammaire de base
909;anglais;l'Il never forgive you.;I'll never forgive you.;Correction OCR / grammaire de base
910;anglais;l'Il treat you to diner.;I'll treat you to diner.;Correction OCR / grammaire de base
910;français;Je vais vous traiter au diner.;Je t'invite à dîner.;Traduction corrigée (sens)
911;anglais;l'Il wear my blue dress.;I'll wear my blue dress.;Correction OCR / grammaire de base
912;anglais;l'm glad you enjoyed it.;I'm glad you enjoyed it.;Correction OCR / grammaire de base
916;français;Esperons le meilleur.;Espérons le meilleur.;Traduction corrigée (sens)
917;français;Amy est Sophomore maintenant.;Amy est en deuxième année.;Traduction corrigée (sens)
919;français;Veuillez me montrerle menu.;Veuillez me montrer le menu.;Traduction corrigée (sens)
920;anglais;Very please to meet you.;Very pleased to meet you.;Correction OCR / grammaire de base
924;anglais;What's matter with you?;What's the matter with you?;Correction OCR / grammaire de base
940;anglais;| am busy cooking dinner.;I am busy cooking dinner.;Correction OCR / grammaire de base
941;anglais;1 feel terrible about it.;I feel terrible about it.;Correction OCR / grammaire de base
942;anglais;l hope you'il forgive me.;I hope you'il forgive me.;Correction OCR / grammaire de base
943;anglais;| walked across the park.;I walked across the park.;Correction OCR / grammaire de base
944;anglais;l went there on business.;I went there on business.;Correction OCR / grammaire de base
945;anglais;l'Il have some ice cream.;I'll have some ice cream.;Correction OCR / grammaire de base
946;anglais;l'm not used to drinking.;I'm not used to drinking.;Correction OCR / grammaire de base
959;français;Désolé, nous prenons seulement de;Désolé, nous n'acceptons que l'argent liquide.;Traduction corrigée (sens)
988;anglais;l heard some one laughing.;I heard some one laughing.;Correction OCR / grammaire de base
989;anglais;| never used to oversleep.;I never used to oversleep.;Correction OCR / grammaire de base
989;français;Je n'avais jamais l'habitude de dormir trop à;Je n'avais pas l'habitude de faire la grasse matinée.;Traduction corrigée (sens)
990;anglais;1 slept soundly all night.;I slept soundly all night.;Correction OCR / grammaire de base
991;anglais;| want my steak well-done.;I want my steak well-done.;Correction OCR / grammaire de base
991;français;Je veux bien faire mon steak.;Je veux mon steak bien cuit.;Traduction corrigée (sens)
992;anglais;l'm flying back tomorrow.;I'm flying back tomorrow.;Correction OCR / grammaire de base
993;anglais;l'm looking forward to it.;I'm looking forward to it.;Correction OCR / grammaire de base
994;anglais;l've known that all along.;I've known that all along.;Correction OCR / grammaire de base
996;français;Jack et Anne sont engagés;Jack et Anne sont fiancés.;Traduction corrigée (sens)
999;anglais;No, | haven't decided yet.;No, I haven't decided yet.;Correction OCR / grammaire de base
1006;français;Lancez votre radio s'il vous plaît.;Montez le son de la radio, s'il vous plaît.;Traduction corrigée (sens)
1022;anglais;| generally agree with you.;I generally agree with you.;Correction OCR / grammaire de base
1023;anglais;| was alone, but not lonely,;I was alone, but not lonely,;Correction OCR / grammaire de base
1024;anglais;l'Il have mashed potatoes .;I'll have mashed potatoes .;Correction OCR / grammaire de base
1024;français;Je vais avoir du purée de pommes de terre.;Je vais prendre de la purée de pommes de terre.;Traduction corrigée (sens)
1025;anglais;l'm sorry.l'm engaged now.;I'm sorry.I'm engaged now.;Correction OCR / grammaire de base
1040;français;Quel est ton problème?;Quel est ton problème ?;Traduction corrigée (sens)
1047;anglais;1 plan to learn photography.;I plan to learn photography.;Correction OCR / grammaire de base
1048;anglais;l'm not waiting for anybody.;I'm not waiting for anybody.;Correction OCR / grammaire de base
1049;anglais;l've already read that book.;I've already read that book.;Correction OCR / grammaire de base
1052;français;Albert prendra sa retraite l'année;Albert prendra sa retraite l'année prochaine.;Traduction corrigée (sens)
1054;français;Les jours s'améliorent.;Les jours deviennent plus chauds.;Traduction corrigée (sens)
1056;français;Ces chaussures ne conviennent pas correct;Ces chaussures ne vont pas bien.;Traduction corrigée (sens)
1067;anglais;l haven't the slightest idea.;I haven't the slightest idea.;Correction OCR / grammaire de base
1068;anglais;| prefer fishing to swimming.;I prefer fishing to swimming.;Correction OCR / grammaire de base
1078;français;Avez-vous mangé quelque chose d'inhabitu;Avez-vous mangé quelque chose d'inhabituel ?;Traduction corrigée (sens)
1080;anglais;1 can't resist the temptation.;I can't resist the temptation.;Correction OCR / grammaire de base
1081;anglais;| really appreciate your help.;I really appreciate your help.;Correction OCR / grammaire de base
