slide;anglais;français
84;Suit yourself.;Fais comme tu veux.
85;Thanks anyway.;Merci quand même.
86;Who's calling?;Qui appelle?
87;With pleasure.;Avec plaisir.
88;Yes, it's mine.;Oui c'est le mien.
89;Brilliant idea.;Idée brillante.
90;Come in, please.;Entrez, s'il-vous-plaît.
91;Enjoy yourself.;Amusez-vous bien.
92;Good afternoon.;Bonne après-midi.
93;Good-bye, Mike.;Au revoir, Mike.
94;It's essential.;Il est essentiel.
95;It's fantastic.;C'est fantastique.
96;Just wonderful.;Juste merveilleux.
97;You're welcome.;Vous êtes les bienvenus.
98;Good night, John.;Bonne nuit, John.
99;It's incredible.;C'est incroyable.
100;I lost.;J'ai perdu.
101;Let's celebrate.;Fêtons.
102;Now read, please.;Maintenant lisez, s'il vous plaît.
103;Stand up, please.;Debout s'il vous plait.
104;Absolutely right.;Absolument raison.
105;Control yourself.;Contrôle-toi.
106;How's everything?;Comment ça va?
107;That's excellent.;C'est excellent.
108;That's something.;C'est quelque chose.
109;Yes, I understand.;Oui je comprends.
110;That's disgusting.;C'est dégoutant.
111;That's ridiculous.;C'est ridicule.
112;That's worthwhile.;Ça vaut la peine.
113;Don't shilly-shally.;Ne traîne pas.
114;Speak louder, please.;Parle plus fort je te prie.
115;So dull.;Si ennuyeux.
116;I hope so.;J'espere.
117;Who says?;Qui dit?
118;Can I help?;Puis-je aider?
119;Drop dead.;Raïde mort.
120;lblew it.;Je l'ai soufflé.
121;I doubt it.;J'en doute.
122;I envy you.;Je vous envie.
123;I hate you.;Je te deteste.
124;I love you.;Je t'aime.
125;I think so.;Je le pense.
126;Is that ok?;Est-ce que ça va?
127;It's a pen.;C'est un stylo.
128;Keep well.;Continuez bien.
129;Let me see.;Laisse moi voir.
130;Not at all.;Pas du tout.
131;Thank you.;Je vous remercie,
132;Time is up.;Le temps est écoulé.
133;Be my guest.;Soit mon invité.
134;Count me on.;Comptez-moi.
135;I'm fine, thanks.;Je vais bien merci.
136;Forgive me.;Pardonne-moi.
137;How are you?;Comment allez-vous?
138;How is Jack?;Comment est Jack?
139;I'll get it.;Je l'aurai.
140;I'm his fan.;Je suis son fan.
141;Is it yours?;Est-ce le vôtre?
142;It's a deal.;C'est un accord.
143;Not too bad.;Pas trop mal.
144;On the desk.;Sur le bureau.
145;What a pity.;Quel dommage.
146;Who are you?;Qui es-tu?
147;You said it.;Tu l'as dit.
148;Are you sure?;Êtes-vous sûr?
149;At what time?;À quelle heure?
150;Don't panic.;Ne paniquez pas.
151;Here you are.;Vous voilà.
152;I assure you.;Je t'assure.
153;I can manage.;Je peux gérer.
154;I can't tell.;Je ne peux pas le dire.
155;I suppose so.;Je suppose.
156;I'll take it.;Je vais le prendre.
157;I'm a farmer.;Je suis agriculteur.
158;It's Sunday.;C'est dimanche.
159;It's unfair.;C'est injuste.
160;Let me guess.;Laisse-moi deviner.
161;Take it easy.;Du calme.
162;What a shame.;C'est dommage.
163;Who told you?;Quirte l'a dit?
164;Catch me later.;Attrape-moi plus tard.
165;Don't give up.;N'abandonnez pas.
166;I'll check it.;Je vais le vérifier.
167;I'll show you.;Je vais te montrer.
168;I'm a housevwife.;Je suis une femme au foyer.
169;I'm a student.;Je suis étudiant.
170;I'm fine, too.;Je vais bien aussi.
171;Is it serious?;Est ce sérieux?
172;Is that right?;Est-ce correct?
173;Is this yours?;Est-ce-que cela est a toi?
174;It isn't much.;Ce n'est pas beaucoup.
175;It takes time.;Ça prend du temps.
176;It won't work.;Cela ne fonctionnera pas.
177;It's a pencil.;C'est un crayon.
178;Just a moment.;Juste un moment.
179;Keep in Touch.;Rester en contact.
180;Let's face it.;Avouons-le.
181;Let's make up.;Réparons-nous.
182;See you later.;À plus tard.
183;That's a book.;C'est un livre.
184;Time is money.;Le temps, c'est de l'argent.
185;To be careful.;Faire attention.
186;Where were we?;Où étions nous?
187;Will it hurt?;Est-ce que ça va faire mal?
188;You did right.;Vous avez bien compris.
189;You're crazy.;Tu es fou.
190;You've got it.;Vous l'avez.
191;Any thing else?;Rien d'autre?
192;At about seven.;Vers sept heures.
193;He's a manager.;C'est un gérant.
194;How's it going?;Comment ça va?
195;I'm going home.;Je rentre à la maison.
196;I'm George Smith.;Je suis George Smith.
197;I'm Steve Williams.;Je suis Steve Williams.
198;It all depends.;Tout dépend.
199;It's her field.;C'est son domaine.
200;Let's find out.;Découvrons-le.
201;So far, So good.;Jusqu'ici tout va bien
202;Take your time.;Prends ton temps.
203;The bigger one.;Le plus grand.
204;There they are.;Ils sont là.
205;Those are mine.;Ceux sont les miens.
206;We're through.;Nous sommes finis.
207;What about you?;Et vous?
208;What are these?;Qu'est-ce que c'est?
209;You deserve it.;Vous le méritez.
210;You never know.;On ne sait jamais.
211;Anxiety ages us.;L'anxiété nous vieillit.
212;Are you kidding?;Est-ce que vous plaisantez?
213;Are you married?;Es-tu marié?
214;Call the doctor.;Appelle le docteur.
215;Enjoy your meal.;Bon appétit.
216;I like football.;J'aime le football.
217;I've had enough.;J'en ai eu assez.
218;It really hurts.;Ça fait vraiment mal.
219;It's about time.;Il est question du temps.
220;Keep the change.;Gardez la monnaie.
221;Let's begin now.;Commençons maintenant.
222;No pain, no gain.;On a rien sans rien.
223;Only three days.;Seulement trois jours.
224;That reminds me.;Cela me rappelle.
225;That's for sure.;C'est sûr.
226;That's not true.;Ce n'est pas vrai.
227;This is January.;C'est janvier.
228;Those are books.;Ce sont des livres.
229;Today is Friday.;Aujourd'hui, nous sommes vendredi.
230;What's going on?;Que se passe-t-il?
231;What's your job?;Quel travail faites vous?
232;You are kidding.;Tu plaisantes.
233;You're so smart.;Tu es tellement intelligent.
234;Any tickets left?;Des billets sont-ils restés?
235;Don't mention it.;Ne le mentionnez pas.
236;Good night, Alice.;Bonne nuit, Alice.
237;Have you decided?;As-tu décidé?
238;He lacks courage.;Il lui manque de courage.
239;Hold your horses.;Calmez-vous.
240;I like ice-cream.;J'aime la glace.
241;I'm free tonight.;Je suis libre ce soir.
242;I'm the youngest.;Je suis le plus jeune.
243;It sounds great.;Ca semble génial.
244;It's my pleasure.;C'est mon plaisir.
245;It's two o'clock.;Il est deux heures.
246;See you tomorrow.;Rendez-vous demain.
247;She hates boxing.;Elle déteste la boxe.
248;Sit down, please.;Asseyez-vous s'il vous plaît.
249;Thanks a million.;Merci un million.
250;That makes sense.;Ça a du sens.
251;That's all right.;C'est d'accord.
252;That's terrible.;C'est terrible.
253;That's the point.;C'est le but.
254;That's your book.;C'est votre livre.
255;They're not mine.;Ils ne sont pas les miens.
256;Well, it depends.;En fait ça dépend.
257;What's your name?;Quel est ton nom?
258;What's your size?;Quelle est ta taille?
259;Yesll suppose So.;Qui, je suppose.
260;Anything to drink?;Quelque chose à boire?
261;Do you understand?;Comprenez vous?
262;Easy come, easy go.;C'est la vie,
263;It's Sunday today.;C'est dimanche aujourd'hui.
264;It's very popular.;C'est très populaire.
265;It's worth seeing.;Ça vaut la peine d'être vu.
266;Let's get started.;Commençons.
267;Listen and repeat.;Écoute et répète.
268;Stop complaining.;Arrêter de se plaindre.
269;He's a student, too.;Il est aussi un élève.
270;Here's your change.;Voilà votre monnaie.
271;Knowledge is power.;La connaissance est le pouvoir.
272;Sorry, I'm engaged.;Désolé, je suis engagé
273;They're over there.;Ils sont par là.
274;What a coincidence.;Quelle coïncidence.
275;You can't complain.;Vous ne pouvez pas vous plaindre.
276;You're impossible.;Vous êtes impossible.
277;Something's come up.;Quelque chose est venu jusqu'à.
278;What's the deadline?;Quel est le délai?
279;What's your trouble?;Quel est votre problème?
280;Where's the company?;Où est la compagnie?
281;It's still undecided.;Il est toujours indécis.
282;Tomorrow never comes.;Demain ne vient jamais.
283;Yesterday was Sunday.;Hier c'était dimanche.
284;You're looking sharp.;Vous avez l'air pointu.
285;You're very eloquent.;Vous êtes très éloquent.
286;Any different opinion?;Une opinion différente?
287;Maybe they're doctors.;Peut-être que ce sont des médecins.
288;No, I don't understand.;Non, je ne comprends pas.
289;Open your book, please.;Ouvrez votre livre, s'il vous plaît.
290;The sooner, the better.;Le plus tôt sera le mieux.
291;There's a possibility.;Il y a une possibilité.
292;They've been divorced.;Ils ont divorcé.
293;Those are watermelons.;Ce sont des pastèques.
294;What horrible weather.;Quel horrible temps.
295;Absolutely impossible.;Absolument impossible,
296;AlI enjoyed themselves.;Tous se sont amusés.
297;Close your book, please.;Fermez votre livre, s'il vous plaît.
298;Just for entertainment.;Juste pour le divertissement.
299;Money isn't everything.;L'argent n'est pas tout.
300;Skating is interesting.;Le patinage est intéressant.
301;What's your motherland?;Quelle est votre patrie?
302;You're really talented.;Vous êtes vraiment talentueux.
303;Everything tastes great.;Tout est génial.
304;Good evening, Mrs. Davis.;Bonsoir, madame Davis.
305;I understand completely.;Je comprends totalement.
306;It's an air-conditioner.;C'est un climatiseur.
307;What's your nationality?;Quelle est ta nationalité?
308;Good afternoon, Mr. Wilson.;Bon après-midi, monsieur Wilson.
309;Show your tickets, please.;Montrez vos billets, s'il vous plaît.
310;You're very professional.;Vous êtes très professionnel.
311;That's rather disappointing.;C'est plutôt décevant.
312;Cut it out.;Découper.
313;I'm fed up.;J'en ai marre.
314;No, I can't.;Non, je ne peux pas.
315;Do I have to.;de dois le faire.
316;He is my age.;Il a mon âge.
317;I like this.;J'aime ça.
318;Take a hike.;Dégage.
319;Do me a favor?;Fais-moi une faveur?
320;Don't nag me.;Ne me moque pas.
321;How dare you.;Comment oses-tu.
322;How do I look?;A quoi je ressemble?
323;How do you do?;Comment allez-vous?
324;I detest you.;de te déteste.
325;I do miss you.;Tu me manques.
326;I owe you one.;Je t'en dois une.
327;I'm on a diet.;Je suis au régime.
328;I'm on my way.;Je suis en route.
329;Is that a park?;Est-ce un parc?
330;Knock it off.;Arrête ça.
331;May | come in?;Puis-je entrer?
332;No one knows.;Personne ne sait.
333;There it is.;Le voilà.
334;You set me up.;Tu m'as trompé.
335;Can I help you?;Puis-je vous aider?
336;From 4 to 4:30.;Du 4 au 4:30,
337;Give me a call.;Appelle moi.
338;Give me a hand.;Donne-moi un coup de main.
339;How much is it?;Combien ça coûte?
340;I have no idea.;Je n'ai aucune idée.
341;I just made it.;Je l'ai fait.
342;l'wish I could.;Si seulement je pouvais.
343;I'll see to it.;Je m'en tiendrai.
344;I'm good at it.;Je suis bon à ça.
345;I'm in a hurry.;Je suis pressé.
346;It's up to you.;C'est à vous.
347;Just let it be.;Laisse tomber.
348;What do you do?;Que faire?
349;You owe me one.;Tu m'en dois une.
350;You're a jerk.;Tu es un idiot.
351;Any day will do.;Toute journée fera.
352;Are you with me?;Es-tu avec moi?
353;Can you make it?;Peux-tu le faire?
354;Dinner is on me.;Le dîner est sur moi.
355;Don't touch me.;Ne me touchez pas.
356;How is it going?;Comment ça se passe?
357;How old are you?;Quel âge avez-vous?
358;I am behind you.;Je suis derrière toi.
359;I don't mean it.;Je ne veux pas dire ça.
360;I'll do my best.;Je ferai de mon mieux.
361;I'll fix you Up.;Je vais vous réparer.
362;It's a fine day.;C'est une belle journée.
363;It's up to date.;Il est à jour.
364;Leave me alone.;Laisse-moi tranquille.
365;Sure.Go ahead.;Bien sûr vas y.
366;I can't help it.;Je ne peux pas l'aider.
367;The same to you.;Je vous souhaïite la même chose.
368;What does he do?;Qu'est-ce qu'il fait?
369;What time is it?;Quelle heure est-il?
370;Yes, I think so.;Oui, je pense que oui.
371;You can make it.;Tu peux le faire.
372;Did you have fun?;T'es-tu amusé?
373;Do you know Mary?;Connaissez-vous Mary?
374;Don't bother me.;Ne me dérange pas.
375;He came by train.;Il est venu en train.
376;Hold on, please.;Attendez, s'il vous plaît.
377;How is your wife?;Comment va votre femme?
378;I can't stand it.;Je ne peux pas le supporter.
379;I didn't mean to.;Je ne voulais pas.
380;I have no choice.;Je n'ai pas le choix.
381;I love this game.;J'adore ce jeu.
382;I'll try my best.;Je vais essayer de mon mieux.
383;I'm on your side.;Je suis de ton côté.
384;I've got no idea.;Je n'ai aucune idée.
385;It's hard to say.;C'est difficile à dire.
386;It's no big deal.;Ce n'est pas grand chose.
387;Just call me Tim.;Appelle-moi simplement Tim.
388;Long time no see.;Ça fait longtemps.
389;My fever is gone.;Ma fièvre.est partie.
390;My name is Adam.;Mon nom est Adam.
391;Nice to meet you.;Ravi de vous rencontrer.
392;No, mine is blue.;Non, le mien est bleu.
393;Sure, what is it?;Bien sûr, qu'est-ce que c'est?
394;We're all for it.;Nous sommes tous pour cela.
395;What a good deal.;Quelle bonne affaire.
396;What is your age?;Quel âge avez-vous?
397;What should | do?;Que devrais-je faire?
398;You asked for it.;Vous l'avez demandé.
399;You have my word.;Vous avez ma parole.
400;You look guilty.;Vous avez l'air coupable.
401;You stupid jerk.;Vous êtes stupide.
402;You'll be sorry.;Vous serez désolé.
403;Are you Chinese?;Es-tu Chinois?
404;Are you married?;Es-tu marié?
405;Believe it or not.;Croyez-le ou non.
406;Don't count on me.;Ne comptez pas sur moi.
407;Don't fall for it.;Ne te laisse pas avoir.
408;Don't let me down.;Ne me laissez pas tomber.
409;Enough is enough.;Trop c'est trop.
410;He's on the phone.;Il est au téléphone.
411;Here is your food.;Voici votre repas.
412;His room is empty.;Sa chambre est vide.
413;I beg your pardon.;Je vous demande pardon.
414;I can't afford it.;Je ne peux pas me le permettre.
415;I come from Japan.;Je viens du Japon.
416;I thought so;too.
417;I'd like a refund.;Je voudrais un remboursement.
418;I'll be back soon.;Je reviens vite.
419;I'll check it out.;Je vérifierai.
420;I'm going to work.;Je vais travailler.
421;I'm in good shape.;Je suis en bonne forme.
422;I'm working on it.;J'y travaille.
423;I've done my best.;J'ai fait de mon mieux.
424;Is this your book?;Est-ce votre livre?
425;It's a long story.;C'est une longue histoire.
426;It's all my fault.;Tout est de ma faute.
427;Just a few months.;Juste quelques mois.
428;Just wait and see.;Il suffit d'attendre et de voir.
429;Make up your mind.;Décide toi.
430;My name is Kevin.;Je m'appelle Kevin.
431;No, I'm Canadian.;Non, je suis Canadien.
432;That rings a bell.;Cela sonne une cloche.
433;That's all | need.;C'est tout ce dont j'ai besoin.
434;The view is great.;La vue est géniale.
435;The wall has ears.;Le mur a des oreilles.
436;There comes a bus.;Il y a un bus.
437;This is Mr.White.;C'est MrWhite.
438;Today is March 24st.;Aujourd'hui, c'est le 24 mars.
439;What day is today?;Quel jour sommes-nous aujourd'hui?
440;What do you think?;Qu'est-ce que tu penses?
441;What year is this?;En quelle année est-ce?
442;Where do you live?;Où habites-tu?
443;Which is your bag?;Quel est votre sac?
444;Who told you that?;Qui t'as dit ça?
445;Whose pen is this?;À qui est ce stylo?
446;You are a chicken.;Tu es un poulet.
447;You can't miss it.;Vous ne pouvez pas le manquer.
448;You name the time.;Vous appelez l'heure.
449;Are you John Smith?;Êtes-vous John Smith?
450;At 6 o'clock sharp.;A 6 heures tranchant.
451;Don't be so modest.;Ne soyez pas si modeste.
452;Don't get me wrong.;Ne me méprenez pas.
453;Don't give me that.;Ne me donne pas ça.
454;Get over yourself.;Se dépasser.
455;He won an election.;Il a remporté une élection.
456;How is your family?;Comment va votre famille?
457;I can't believe it.;Je ne peux pas le croire.
458;I can't follow you.;Je ne peux pas vous suivre.
459;I couldn't help it.;Je ne pouvais pas l'aider.
460;I have a complaint.;J'ai une plainte.
461;I Know the feeling.;Je connais ce sentiment.
462;I really regret it.;Je le regrette vraiment.
463;I'll think it over.;Je vais réfléchir.
464;I'm all washed up.;Je suis tout lavé.
465;I'm easy to please.;Je suis facile à satisfaire.
466;I'm reading a book.;Je lis un livre.
467;I'm sorry I'm late.;Je suis désolé, je suis en retard.
468;Is this seat taken?;Est-ce que cette place est occupée?
469;It drives me crazy.;Ilme rend fou.
470;It is growing cool.;C'est de plus en plus cool.
471;It seems all right.;Il semble bien.
472;It slipped my mind.;Ça m'a échappé.
473;It's a small world.;Le monde est petit.
474;It's going too far.;C'est trop loin.
475;It's time to begin.;Il est temps de commencer.
476;Maybe it wilI work.;Peut-être que cela fonctionnera.
477;Please let me know.;S'il vous plaît, faites-moi savoir.
478;That's a good idea.;C'est une bonne idée.
479;The answer is zero.;La réponse est nulle.
480;We'd better be off.;Nous ferions mieux de partir.
481;What are you doing?;Qu'est-ce que tu fais?
482;What does she like?;Qu'est-ce qu'elle aime?
483;What month is this?;Quel mois est-ce?
484;When were you born?;Quand es-tu né?
485;Where are you from?;D'où êtes-vous?
486;Where's the door?;Où est la porte?
487;You must play fair.;Vous devez jouer équitablement.
488;You're a disgrace.;Vous êtes une honte,
489;Any messages for me?;Des messages pour moi?
490;Are you Charlie Smith?;Êtes-vous Charlie Smith?
491;As soon as possible.;Dès que possible.
492;Don't miss the boat.;Ne manquez pas le bateau.
493;He always talks big.;ll parle toujours grand.
494;He can hardly speak.;Il peut difficilement parler.
495;How is your husband?;Comment va votre mari?
496;I didn't sleep well.;Je n'ai pas bien dormi.
497;I really don't know.;Je ne sais vraiment pas.
498;I'll be right there.;Je serai là.
499;I'm not really sure.;Je ne suis pas tout à fait sûr.
500;I've got a headache.;J'ai mal à la tête.
501;Is France in Europe?;La France en Europe?
502;It hurits right here.;Cela fait mal ici.
503;It's half past nine.;Il est neuf heures et demi.
504;It's not your fault.;Ce n'est pas de ta faute.
505;It's time for class.;Il est temps pour la classe.
506;Let's go visit them.;Allons leur rendre visite.
507;Let's keep in touch.;Restons en contact.
508;Oh, that's not good.;Oh, ce n'est pas bon.
509;Please come with me.;S'il-te-plait viens avec moi.
510;Thank you very much.;Merci beaucoup.
511;That's good to know.;C'est bon à savoir.
512;That's more like it.;C'est plus comme ça.
513;Time is running out.;Le temps est écoulé.
514;We are good friends.;Nous sommes de bons amis.
515;What's on your mind?;Qu'est-ce qui préoccupe votre esprit?
516;Where are you going?;Où allez-vous?
517;Where did you visit?;Où avez-vous visité?
518;Where have you been?;Où étiez-vous?
519;Why don't you agree?;Pourquoi n'êtes-vous pas d'accord?
520;You did fairly well.;Vous avez bien fait.
521;You need a vacation.;Vous avez besoin de vacances.
522;You need to workout.;Vous devez faire de l'exercice.
523;You're so careless.;Vous êtes si négligent.
524;Clothes make the man.;L'habit fait le moine.
525;Do you speak English?;Parlez vous anglais?
526;Don't be so childish.;Ne sois pas si enfantin.
527;Don't lose your head.;Ne perdez pas voire tête.
528;Don't open your book.;N'ouvrez pas votre livre.
529;Don't worry about it.;Ne vous en faites pas.
530;How are things going?;Comment vont les choses?
531;How are you recently?;Comment allez-vous récemment?
532;I could hardly speak.;Je ne pouvais pas parler.
533;I enjoy your company.;J'apprécie votre entreprise.
534;I like football best.;J'aime mieux le football.
535;I'm not feeling well.;Je ne me sens pas bien.
536;I'm not myself today.;Je ne suis pas moi aujourd'hui.
537;I'm pressed for time.;Je suis pressé pour le temps.
538;I've changed my mind.;J'ai changé d'avis.
539;Is this your handbag?;Est-ce que c'est votre sac à main?
540;It really takes time.;Cela prend vraiment du temps.
541;It's against the law.;C'est contre la loi.
542;It's time for dinner.;C'est l'heure du dîner.
543;Look before you leap.;Réfléchir avant d'agir.
544;My car needs washing.;Ma voiture a besoin de se laver.
545;My mouth is watering.;Je salive.
546;That's all for today.;C'est tout pour aujourd'hui.
547;That's not a problem.;Ce n'est pas un problème.
548;That's your problem.;C'est ton problème.
549;These are my pencils.;Ce sont mes crayons.
550;Today is my birthday.;Aujourd'hui c'est mon anniversaire.
551;What happened to you?;Ce qui vous est arrivé?
552;What's your problem?;Quel est ton problème?
553;Where are my glasses?;Où sont mes lunettes?
554;Where are the stairs?;Où sont les escaliers?
555;You look great today.;Vous avez l'air bien aujourd'hui.
556;You're a good dancer.;Vous êtes un bon danseur.
557;You've got the point.;Vous avez le but.
558;Your hand feels cold.;Votre main est froide.
559;A lovely daylisn't it?;Une belle journée, n'est-ce pas?
560;Are you free tomorrow?;Es tu libre demain?
561;Aren't they students?;Ne sont-ils pas des étudiants?
562;Do you like traveling?;Aimes tu voyager?
563;Don't trust to chance.;Ne croyez pas au hasard.
564;Fasten your seat belt.;Attachez votre ceinture de sécurité.
565;Fine, thanks.nd you?;Bien merci et vous?
566;Have you finished yet?;Avez-vous fini maintenant?
567;He looks very healthy.;Il a l'air très en bonne santé.
568;He repaired his house.;Il a réparé sa maison.
569;He suggested a picnic.;Il a suggéré un pique-nique.
570;I couldn't agree more.;Je ne pourrais pas être plus d'accord.
571;I'll further my study.;Je poursuivrai mon étude.
572;I'll take your advice.;Je vais prendre vos conseils.
573;It doesn't make sense.;Cela n'a pas de sens.
574;It won't happen again.;Cela ne se reproduira plus.
575;It's nice meeting you.;C'est un plaisir de te rencontrer.
576;It's not six o'clock.;Ce n'est pas six heures.
577;It's quite cold today.;Il fait très froid aujourd'hui.
578;It's really a bargain.;C'est vraiment une bonne affaire.
579;Just around the comer.;Juste autour du coin.
580;Make yourself at home.;Fais comme chez toi.
581;Maybe some other time.;Peut-être une autre fois.
582;Mind your own affairs.;Faites attention à vos propres affaires.
583;No, that's not my book.;Non, ce n'est pas mon livre.
584;No.Yum, gorge, glut.;N ° Yum, gorge, glut.
585;None of your business.;Ça ne vous concerne pas.
586;You are kidding me.;Vous plaisantez.
587;Pain past is pleasure.;Le passé de la douleur est un plaisir,
588;Please check the date.;Veuillez vérifier la date.
589;Please leave me alone.;S'il te plaît laisse moi seul.
590;Please say that again.;Redites ça, s'il vous plaît.
591;The flight is delayed.;Le vol est retardé.
592;The food is delicious.;La nourriture est délicieuse.
593;The road divides here.;La route se divise ici.
594;They crowned him king.;Ils l'ont couronné roi.
595;This is Mary Speaking.;C'est Mary Speaking.
596;What an adorable baby.;Quel adorable bébé.
597;What do you recommend?;Que recommandez-vous?
598;What's the date today?;Quelle est la date aujourd'hui?
599;What's wrong with you?;Qu'est-ce qui ne va pas?
600;What's your address?;Quelle est ton adresse?
601;Where's the rest room?;Où est la salle de repos?
602;Will it rain tomorrow?;Est-ce qu'il pleut demain?
603;You need an injection.;Vous avez besoin d'une injection.
604;Better late than never.;Mieux vaut tard que jamais.
605;Better safe than sorry.;Mieux vaut prévenir que désolé.
606;Could you speak slower?;Pourriez-vous parler plus lentement?
607;He is collecting money.;ll collecte de l'argent.
608;I couldn't get through.;Je ne pouvais pas passer à travers.
609;I'll meet you tomorrow.;Je vous rencontrerai demain.
610;I'm very disappointed.;Je suis très déçu.
611;It rather surprised me.;Ça m'a plutôt surpris.
612;Let bygones be bygones.;Laissez-vous passer par des anomalies.
613;Let's talk over dinner.;Parlons au dîner.
614;Mother doesn't make up.;La mère ne se maquille pas.
615;No, he doesn't have one.;Non, il n'en a pas.
616;Thanks for the warning.;Merci pour l'avertissement.
617;That's a terrific idea.;C'est une idée formidable.
618;That's always the case.;C'est toujours le cas.
619;The child sobbed sadly.;L'enfant sanglotait tristement.
620;The shoes are worn-out.;Les chaussures sont usées.
621;This soup tastes great.;Cette soupe est délicieuse.
622;Which would you prefer?;Que préférez-vous?
623;You are probably right.;Vous avez probablement raison.
624;You are so considerate.;Vous êtes tellement attentif.
625;Does she like ice-cream?;Est-ce qu'elle aime la glace?
626;Don't hesitate any more.;N'hésitez plus.
627;Don't make any mistakes.;Ne commettez aucune erreur.
628;Don't take any chances.;Ne prenez pas de risques.
629;First come first served.;Premier arrivé premier servi.
630;Football is my favorite.;Le football est mon préféré.
631;Great minds think alike.;Les grands esprits se rencontrent.
632;He is physically mature.;Il est physiquement mature.
633;He majored in Computers.;Il s'est spécialisé dans les ordinateurs.
634;I like playing football.;J'aime jouer au football.
635;I really enjoyed myself.;Je me suis vraiment amusé.
636;I'm crazy about English.;Je suis fou d'anglais.
637;I'm determined to leave.;Je suis déterminé à partir.
638;It's no use complaining.;Il est inutile de se plaindre.
639;John doesn't like me.;John ne m'aime pas.
640;Let me introduce myself.;Laisse moi me présenter.
641;Money is not everything.;L'argent n'est pas tout.
642;She said almost nothing.;Elle a dit presque rien.
643;She's under the weather.;Elle ne se sent pas bien.
644;That couldn't be better.;Cela ne pourrait pas être mieux.
645;The price is reasonable.;Le prix est raisonnable.
646;They praised him highly.;Ils l'ont hautement apprécié.
647;We all desire happiness.;Nous désirons tous le bonheur.
648;What about your opinion?;Qu'en est-il de votre opinion?
649;What are your interests?;Quels sont vos intérêts?
650;What's the weather like?;Quel temps fait-il?
651;What's your family name?;Quel est ton nom de famille?
652;I like collecting stamps.;J'aime collecter des timbres.
653;I'm twenty-seven years old.;J'ai vingt-sept ans.
654;It's better than nothing.;C'est mieux que rien.
655;Please accept my apology.;S'il te plaît, accepte mes excuses.
656;Thank you for directions.;Merci pour les instructions.
657;Thank you for everything.;Merci pour tout.
658;That makes no difference.;Cela ne fait aucune différence.
659;The dinner was wonderful.;Le dîner était merveilleux.
660;The prisoner has escaped.;Le prisonnier s'est échappé.
661;This materiaI feels soft.;Ce matériau est doux.
662;What about another dance?;Qu'en est-il d'une autre danse?
663;You look radiant tonight.;Vous regardez radieux ce soir.
664;You're really killing me.;Vous me tuez vraiment.
665;Being criticized is awful.;Être critiqué est horrible.
666;Don't jump to conclusions.;Ne tire pas de conclusions hâtives.
667;He owned himself defeated.;Il a lui-même été vaincu.
668;I will arrange everything.;Je arrangerai tout.
